scan_id,bag_tag_number,passenger_id,flight_id,scan_location,scan_ts,scan_status,connecting_flight_id
SCN00000001,BT57848816,PAX04087,FLT00236,AIRCRAFT_UNLOAD,2024-01-15T23:47:00,OK,
SCN00000002,BT80345971,PAX07358,FLT00117,CAROUSEL,2024-01-15T08:54:00,OK,
SCN00000003,BT63484586,PAX05132,FLT00051,MAKEUP_BELT,2024-01-15T19:19:00,OK,
SCN00000004,BT81773449,PAX06936,FLT00380,AIRCRAFT_UNLOAD,2024-01-15T04:42:00,OK,
SCN00000005,BT80188999,PAX02032,FLT00126,MAKEUP_BELT,2024-01-15T08:14:00,OK,
SCN00000006,BT71212149,PAX01454,FLT00021,AIRCRAFT_UNLOAD,2024-01-15T11:04:00,MISREAD,
SCN00000007,BT35503269,PAX06008,FLT00033,SCREENING,2024-01-15T19:50:00,OK,
SCN00000008,BT40546109,PAX01999,FLT00300,TRANSFER_BELT,2024-01-15T21:50:00,EXCEPTION,FLT00238
SCN00000009,BT23189607,PAX04399,FLT00027,MAKEUP_BELT,2024-01-15T23:38:00,OK,
SCN00000010,BT25623801,PAX03621,FLT00043,AIRCRAFT_LOAD,2024-01-15T08:44:00,OK,
SCN00000011,BT38855998,PAX04902,FLT00250,MAKEUP_BELT,2024-01-15T21:25:00,OK,
SCN00000012,BT24968484,PAX05899,FLT00227,TRANSFER_BELT,2024-01-15T23:56:00,OK,FLT00303
SCN00000013,BT95219204,PAX05034,FLT00387,AIRCRAFT_LOAD,2024-01-15T02:01:00,OK,
SCN00000014,BT90712387,PAX02218,FLT00253,CAROUSEL,2024-01-15T08:01:00,OK,
SCN00000015,BT79014787,PAX02325,FLT00331,MAKEUP_BELT,2024-01-15T11:01:00,MISREAD,
SCN00000016,BT46948576,PAX05553,FLT00288,AIRCRAFT_UNLOAD,2024-01-15T12:32:00,EXCEPTION,
SCN00000017,BT34451823,PAX03995,FLT00004,MAKEUP_BELT,2024-01-15T19:23:00,EXCEPTION,
SCN00000018,BT33997481,PAX00538,FLT00390,AIRCRAFT_LOAD,2024-01-15T12:23:00,OK,
SCN00000019,BT69485073,PAX02806,FLT00327,CAROUSEL,2024-01-15T20:23:00,OK,
SCN00000020,BT24591037,PAX06250,FLT00119,SCREENING,2024-01-15T12:29:00,MISREAD,
SCN00000021,BT81189018,PAX03866,FLT00053,CAROUSEL,2024-01-15T12:14:00,MISREAD,
SCN00000022,BT30749745,PAX02653,FLT00081,SCREENING,2024-01-15T15:31:00,OK,
SCN00000023,BT91889353,PAX05428,FLT00081,MAKEUP_BELT,2024-01-15T19:37:00,EXCEPTION,
SCN00000024,BT65956600,PAX06388,FLT00372,MAKEUP_BELT,2024-01-15T09:48:00,OK,
SCN00000025,BT50750934,PAX03038,FLT00075,MAKEUP_BELT,2024-01-15T13:23:00,OK,
SCN00000026,BT52325110,PAX03685,FLT00158,AIRCRAFT_LOAD,2024-01-15T21:13:00,EXCEPTION,
SCN00000027,BT10761353,PAX06245,FLT00207,CHECK_IN,2024-01-15T15:57:00,OK,
SCN00000028,BT28781124,PAX07988,FLT00234,TRANSFER_BELT,2024-01-15T11:21:00,OK,FLT00362
SCN00000029,BT37140582,PAX01709,FLT00339,CAROUSEL,2024-01-15T10:44:00,OK,
SCN00000030,BT13178141,PAX02637,FLT00219,TRANSFER_BELT,2024-01-15T15:03:00,OK,FLT00287
SCN00000031,BT85158204,PAX06055,FLT00103,TRANSFER_BELT,2024-01-15T09:20:00,MISREAD,FLT00259
SCN00000032,BT69069644,PAX07016,FLT00141,CHECK_IN,2024-01-15T04:32:00,OK,
